,Carrera,Ciclo,Materia
79,Carrera de Computación,Ciclo IV,Prácticum 1.2
80,Carrera de Computación,Ciclo V,Sistemas Operativos
81,Carrera de Computación,Ciclo V,Introducción a la Inteligencia de Negocios
82,Carrera de Computación,Ciclo V,Ingeniería Web
83,Carrera de Computación,Ciclo V,Estadística y Probabilidad
84,Carrera de Computación,Ciclo V,Ética y Moral
85,Carrera de Computación,Ciclo V,Fundamentos de Ingeniería de Software
86,Carrera de Computación,Ciclo V,Prácticum 2.1
87,Carrera de Computación,Ciclo VI,Teoría de Autómatas y  Compiladores
88,Carrera de Computación,Ciclo VI,Fundamentos de Redes
89,Carrera de Computación,Ciclo VI,Ingeniería de Requisitos
90,Carrera de Computación,Ciclo VI,Gestión de la calidad de software
91,Carrera de Computación,Ciclo VI,Itinerario I: Plataformas Web
92,Carrera de Computación,Ciclo VI,Itinerario II: Fundamentos de Análisis de Datos
93,Carrera de Computación,Ciclo VI,Prácticum 2.2
94,Carrera de Computación,Ciclo VII,Redes y Sistemas Distribuidos
95,Carrera de Computación,Ciclo VII,Fundamentos de Inteligencia Artificial
96,Carrera de Computación,Ciclo VII,Arquitectura de Software
97,Carrera de Computación,Ciclo VII,Emprendimiento
98,Carrera de Computación,Ciclo VII,Itinerario I: Plataformas Móviles
99,Carrera de Computación,Ciclo VII,Itinerario II: Interoperabilidad y Explotación de Datos en Ecosistemas Heterogéneos
100,Carrera de Computación,Ciclo VII,Prácticum 3. Servicio Comunitario
101,Carrera de Computación,Ciclo VIII,Computación Paralela y Distribuida
102,Carrera de Computación,Ciclo VIII,Representación Avanzada del Conocimiento y Razonamiento
103,Carrera de Computación,Ciclo VIII,Emprendimiento de Base Tecnológica I
104,Carrera de Computación,Ciclo VIII,Composición de Textos Científicos
105,Carrera de Computación,Ciclo VIII,Prácticum 4.1
106,Carrera de Computación,Ciclo VIII,Itinerario I: Plataformas para Juegos
107,Carrera de Computación,Ciclo VIII,Itinerario II: Análisis y Visualización de Grandes Volúmenes de Datos
108,Carrera de Computación,Ciclo IX,Gestión de Proyectos
109,Carrera de Computación,Ciclo IX,Seguridad de la Información
110,Carrera de Computación,Ciclo IX,Tecnologías Emergentes
111,Carrera de Computación,Ciclo IX,Emprendimiento de Base Tecnológica II
112,Carrera de Computación,Ciclo IX,Sistemas Inteligentes
113,Carrera de Computación,Ciclo IX,Prácticum 4.2
114,Carrera de Ingeniería Civil,Ciclo I,Estática
115,Carrera de Ingeniería Civil,Ciclo I,Álgebra  Lineal
116,Carrera de Ingeniería Civil,Ciclo I,Analisis Matemático Univariado
117,Carrera de Ingeniería Civil,Ciclo I,Fundamentos de Geometría
118,Carrera de Ingeniería Civil,Ciclo I,"Humanismo, Universidad y Cultura"
119,Carrera de Ingeniería Civil,Ciclo I,Metodología de Investigación y Técnicas de Estudio
120,Carrera de Ingeniería Civil,Ciclo II,Dinámica
121,Carrera de Ingeniería Civil,Ciclo II,Química Ambiental
122,Carrera de Ingeniería Civil,Ciclo II,Análisis Matemático Múltivariado
123,Carrera de Ingeniería Civil,Ciclo II,Dibujo para Ingeniería
124,Carrera de Ingeniería Civil,Ciclo II,Antropología Básica
125,Carrera de Ingeniería Civil,Ciclo II,Lenguaje de Programación
126,Carrera de Ingeniería Civil,Ciclo III,Resistencia de Materiales
127,Carrera de Ingeniería Civil,Ciclo III,Tecnología de Materiales
128,Carrera de Ingeniería Civil,Ciclo III,Ecuaciones Diferenciales
129,Carrera de Ingeniería Civil,Ciclo III,Topografía I
130,Carrera de Ingeniería Civil,Ciclo III,Estadística
131,Carrera de Ingeniería Civil,Ciclo III,Mecánica de Fluidos
132,Carrera de Ingeniería Civil,Ciclo IV,Sistemas Hiperestáticos
133,Carrera de Ingeniería Civil,Ciclo IV,Hidrología
134,Carrera de Ingeniería Civil,Ciclo IV,Métodos Numéricos
135,Carrera de Ingeniería Civil,Ciclo IV,Topografía II
136,Carrera de Ingeniería Civil,Ciclo IV,Geología Aplicada a la Ingeniería
137,Carrera de Ingeniería Civil,Ciclo IV,Sistemas de Información Geográfica y Teledetección
138,Carrera de Ingeniería Civil,Ciclo V,Ingeniería de Estructuras
139,Carrera de Ingeniería Civil,Ciclo V,Ética y Moral
140,Carrera de Ingeniería Civil,Ciclo V,Diseño de Hormigones
141,Carrera de Ingeniería Civil,Ciclo V,Construcción de Carreteras I
142,Carrera de Ingeniería Civil,Ciclo V,Mecánica de Suelo I
143,Carrera de Ingeniería Civil,Ciclo V,Prácticum 1
144,Carrera de Ingeniería Civil,Ciclo VI,Cimientos
145,Carrera de Ingeniería Civil,Ciclo VI,Ingeniería Hidráulica I
146,Carrera de Ingeniería Civil,Ciclo VI,Construcción de Carreteras II
147,Carrera de Ingeniería Civil,Ciclo VI,Mecánica de Suelo II
148,Carrera de Ingeniería Civil,Ciclo VI,Itinerario I: Ingeniería de Tráfico
149,Carrera de Ingeniería Civil,Ciclo VI,Itinerario II: Riego
150,Carrera de Ingeniería Civil,Ciclo VI,Prácticum 2
151,Carrera de Ingeniería Civil,Ciclo VII,Hormigón Armado
152,Carrera de Ingeniería Civil,Ciclo VII,Ingeniería Hidráulica II
153,Carrera de Ingeniería Civil,Ciclo VII,Abastecimiento de Agua
154,Carrera de Ingeniería Civil,Ciclo VII,Diseño de Pavimentos
155,Carrera de Ingeniería Civil,Ciclo VII,Prácticum 3
156,Carrera de Ingeniería Civil,Ciclo VII,Iitnerario I: Vialidad Rural
157,Carrera de Ingeniería Civil,Ciclo VII,Itinerario II: Calidad de Aguas
158,Carrera de Ingeniería Civil,Ciclo VIII,Ingeniería de Suelos
159,Carrera de Ingeniería Civil,Ciclo VIII,Metrología de la Edificación
160,Carrera de Ingeniería Civil,Ciclo VIII,Alcantarillado y Depuración de Aguas
161,Carrera de Ingeniería Civil,Ciclo VIII,Tecnología de la Construcción
162,Carrera de Ingeniería Civil,Ciclo VIII,Prácticum 4.1
163,Carrera de Ingeniería Civil,Ciclo VIII,Itinerario I: Estabilidad de Taludes Carreteros
164,Carrera de Ingeniería Civil,Ciclo VIII,Itinerario II: Eliminación de Residuos
165,Carrera de Ingeniería Civil,Ciclo IX,Composición de Textos Científicos
166,Carrera de Ingeniería Civil,Ciclo IX,Estructuras Metálicas
167,Carrera de Ingeniería Civil,Ciclo IX,Organización de Obras
